Postcode,Postcode78,Easting,Northing,OA,X,Y
BA1 1BR,BA1 1BR,374961,164908,E00072573,-2.361205515,51.38261094
BA1 1BW,BA1 1BW,374973,164932,E00072573,-2.361034831,51.38282721
BA1 1BZ,BA1 1BZ,374977,165049,E00072573,-2.360985646,51.38387947
BA1 1DA,BA1 1DA,374939,165002,E00072573,-2.361528385,51.38345512
BA1 1DB,BA1 1DB,374894,165093,E00072566,-2.362181377,51.3842714
BA1 1DD,BA1 1DD,374903,165047,E00072573,-2.362048852,51.38385812
BA1 1DE,BA1 1DE,374896,165074,E00072573,-2.362151357,51.3841006
BA1 1DG,BA1 1DG,374938,165113,E00072573,-2.361550585,51.38445313
BA1 1DN,BA1 1DN,374958,165056,E00072573,-2.361259117,51.38394155
BA1 1DS,BA1 1DS,374960,165049,E00072573,-2.36122995,51.38387871
BA1 1DU,BA1 1DU,374965,165013,E00072573,-2.361155485,51.38355524
BA1 1DW,BA1 1DW,375350,164483,E00072575,-2.355586339,51.3788065
BA1 1DX,BA1 1DX,374973,164994,E00072573,-2.361039217,51.38338471
BA1 1DY,BA1 1DY,374974,165033,E00072573,-2.36102764,51.38373542
BA1 1EA,BA1 1EA,374951,164812,E00072572,-2.361342429,51.38174727
BA1 1EB,BA1 1EB,374873,164673,E00072576,-2.362453315,51.38049397
BA1 1EE,BA1 1EE,374924,164662,E00072574,-2.361719797,51.38039727
BA1 1EF,BA1 1EF,374888,164737,E00072572,-2.36224236,51.38107012
BA1 1EL,BA1 1EL,374970,164788,E00072572,-2.361067768,51.38153229
BA1 1EN,BA1 1EN,374837,164814,E00072757,-2.362980702,51.38176019
BA1 1EP,BA1 1EP,374909,164777,E00072572,-2.36194345,51.3814307
BA1 1EQ,BA1 1EQ,374944,164761,E00072572,-2.3614394,51.38128834
BA1 1ER,BA1 1ER,374970,164788,E00072572,-2.361067768,51.38153229
BA1 1ET,BA1 1ET,374837,164849,E00072756,-2.362983191,51.3820749
BA1 1EU,BA1 1EU,374863,164855,E00072756,-2.36260995,51.38212999
BA1 1EY,BA1 1EY,374905,164852,E00072572,-2.362006229,51.38210489
BA1 1HA,BA1 1HA,374891,164885,E00072573,-2.36220974,51.382401
BA1 1HB,BA1 1HB,374927,164896,E00072573,-2.361693258,51.38250147
